,user_id,gender_encode,country_encode,age_normalized
0,46763,0,2,0.17894736842105263
1,38208,0,2,0.3473684210526316
2,42734,0,5,0.2736842105263158
3,35269,0,0,0.08421052631578947
4,24818,0,6,0.5473684210526315
6,5312,1,2,0.368421052631579
7,19501,2,2,0.28421052631578947
9,20092,0,4,0.31578947368421056
10,31714,1,5,0.631578947368421
12,38437,1,7,0.3894736842105263
13,22857,0,3,0.5157894736842105
14,41857,0,7,0.37894736842105264
15,49509,1,4,0.5368421052631579
16,28744,1,4,0.3368421052631579
17,3326,0,3,0.12631578947368421
18,32544,0,2,0.19999999999999998
19,39382,1,1,0.16842105263157894
20,1051,1,5,0.3894736842105263
21,22276,0,1,0.4
22,18154,0,5,0.5578947368421052
24,20951,0,2,0.4631578947368421
25,6542,0,0,0.23157894736842105
27,12668,1,5,0.5473684210526315
28,37021,1,1,0.6210526315789473
29,3432,1,7,0.368421052631579
30,49549,0,3,0.2736842105263158
31,1296,1,7,0.4947368421052632
32,40892,0,7,0.3473684210526316
33,43067,2,5,0.7263157894736841
34,17709,1,4,0.4
35,16814,0,6,0.7999999999999999
36,47987,1,5,0.6210526315789473
37,36301,0,7,0.5052631578947367
38,30362,1,6,0.6526315789473683
39,27969,0,6,0.6
40,47203,0,4,0.4842105263157895
41,7091,0,5,0.6
42,19634,1,2,0.11578947368421053
44,5632,0,3,0.43157894736842106
47,44449,0,2,0.19999999999999998
48,5839,2,7,0.21052631578947367
49,20841,1,2,0.2947368421052632
50,10057,0,5,0.43157894736842106
51,41964,0,1,0.45263157894736844
53,9862,1,0,0.24210526315789474
54,4334,0,2,0.14736842105263157
55,2388,2,1,0.11578947368421053
56,24461,0,5,0.6210526315789473
57,40373,1,6,0.6526315789473683
58,38489,0,4,0.22105263157894736
59,27564,0,5,0.4
60,24059,1,5,0.5368421052631579
65,22786,1,5,0.5473684210526315
66,30877,1,5,0.9473684210526315
67,24646,1,7,0.4105263157894737
68,5339,1,4,0.1894736842105263
69,45517,1,3,0.4105263157894737
70,48113,0,2,0.43157894736842106
71,5362,1,0,0.23157894736842105
72,4121,1,4,0.43157894736842106
73,8846,1,5,0.2947368421052632
74,37242,0,1,0.5263157894736842
75,28621,0,6,0.6421052631578947
76,20093,1,3,0.09473684210526315
77,32061,0,3,0.15789473684210525
78,37949,1,2,0.4736842105263158
79,13079,1,2,0.5368421052631579
80,48929,0,0,0.10526315789473684
84,19817,0,1,0.2736842105263158
85,29011,1,7,0.5052631578947367
86,22909,1,0,0.2736842105263158
89,24591,1,5,0.43157894736842106
91,47788,0,4,0.4
92,15794,1,7,0.4631578947368421
93,29,0,2,0.12631578947368421
94,2827,2,2,0.3894736842105263
95,30192,0,4,0.45263157894736844
96,45339,1,1,0.2736842105263158
97,45339,1,1,0.2736842105263158
98,1162,2,3,0.26315789473684215
99,1162,2,3,0.26315789473684215
100,10964,1,3,0.2736842105263158
101,43443,0,0,0.3368421052631579
103,36936,1,3,0.0631578947368421
104,15713,0,6,0.4421052631578947
105,33054,0,0,0.19999999999999998
106,39882,0,0,0.15789473684210525
110,8633,0,4,0.14736842105263157
111,21794,1,4,0.3263157894736842
112,43239,0,2,0.631578947368421
113,19423,0,7,0.4421052631578947
115,35979,0,7,0.2947368421052632
116,37803,1,2,0.31578947368421056
117,1106,0,1,0.5052631578947367
118,1106,0,1,0.5052631578947367
119,42957,0,1,0.30526315789473685
120,16708,0,6,0.6105263157894736
121,21748,1,4,0.23157894736842105
122,49416,1,5,0.4421052631578947
123,39951,1,4,0.7473684210526316
126,15933,0,1,0.5894736842105263
128,27982,0,7,0.08421052631578947
129,9737,0,5,0.5894736842105263
130,18584,0,4,0.22105263157894736
131,6423,1,0,0.1894736842105263
132,15368,1,0,0.3368421052631579
134,41742,1,1,0.3894736842105263
136,8653,1,6,0.4736842105263158
139,39426,2,0,0.21052631578947367
141,14877,0,4,0.3473684210526316
142,458,0,7,0.4210526315789474
143,8347,0,3,0.3263157894736842
144,37567,2,4,0.3473684210526316
145,41324,1,0,0.3263157894736842
146,41202,0,3,0.25263157894736843
148,41554,0,7,0.30526315789473685
149,7268,1,6,0.5894736842105263
150,1327,1,1,0.6526315789473683
151,25384,0,6,0.3894736842105263
153,29628,1,1,0.6421052631578947
154,12877,1,0,0.1894736842105263
156,19877,0,4,0.4842105263157895
157,3598,0,2,0.37894736842105264
158,30037,0,0,0.23157894736842105
159,36916,0,2,0.31578947368421056
160,40853,0,6,0.3894736842105263
162,27969,0,6,0.6
163,29457,1,2,0.25263157894736843
164,37753,1,1,0.19999999999999998
165,40997,0,5,0.7052631578947368
166,43912,0,2,0.28421052631578947
167,3008,1,5,0.6
168,26954,0,7,0.5368421052631579
169,17706,0,5,0.6210526315789473
171,18926,0,5,0.4421052631578947
172,812,1,6,0.43157894736842106
173,46252,0,4,0.4947368421052632
174,8956,0,5,0.3263157894736842
175,27418,0,1,0.3263157894736842
176,1151,2,2,0.07368421052631578
177,20236,0,3,0.21052631578947367
179,16814,0,6,0.7999999999999999
180,42341,1,1,0.4736842105263158
181,42341,1,1,0.4736842105263158
184,1244,1,5,0.7578947368421052
185,33786,0,2,0.25263157894736843
186,7343,0,6,0.35789473684210527
188,48518,2,5,0.5157894736842105
189,9538,0,5,0.2947368421052632
190,26314,1,7,0.5473684210526315
191,14457,1,1,0.4947368421052632
193,20463,0,7,0.3894736842105263
194,42927,1,2,0.3263157894736842
195,37742,0,1,0.22105263157894736
196,30376,0,6,0.3263157894736842
197,7756,0,7,0.1894736842105263
199,22258,1,7,0.052631578947368425
200,31648,1,4,0.6631578947368421
201,24712,0,2,0.3473684210526316
202,24772,0,1,0.14736842105263157
203,24772,0,1,0.14736842105263157
204,9,1,0,0.22105263157894736
205,23304,0,1,0.368421052631579
206,26578,1,4,0.4842105263157895
207,14091,0,4,0.5578947368421052
209,47233,1,0,0.09473684210526315
211,26847,0,0,0.12631578947368421
212,44357,0,2,0.3473684210526316
213,2854,1,4,0.43157894736842106
214,2854,1,4,0.43157894736842106
215,32476,1,3,0.21052631578947367
216,32618,2,1,0.2947368421052632
217,3508,1,2,0.30526315789473685
219,9926,0,4,0.1894736842105263
220,29474,1,6,0.4842105263157895
221,8723,1,2,0.0631578947368421
222,8723,1,2,0.0631578947368421
223,11882,1,7,0.4421052631578947
